name: rag_venv
  - oauthlib=3.2.2=pyhd8ed1ab_0
  - onnxruntime=1.19.2=py310hc8aa8dc_0_cpu
  - openai-clip=1.0.1=pyhd8ed1ab_1
  - openjpeg=2.5.0=ha2aaf27_2
  - openssl=3.4.0=ha4e3fda_1
  - opentelemetry-api=1.26.0=py310haa95532_0
  - opentelemetry-exporter-otlp-proto-common=1.26.0=pyhd8ed1ab_0
  - opentelemetry-exporter-otlp-proto-grpc=1.26.0=pyhd8ed1ab_0
  - opentelemetry-instrumentation=0.47b0=pyhd8ed1ab_0
  - opentelemetry-instrumentation-asgi=0.47b0=pyhd8ed1ab_0
  - opentelemetry-instrumentation-fastapi=0.47b0=pyhd8ed1ab_0
  - opentelemetry-proto=1.26.0=pyhd8ed1ab_0
  - opentelemetry-sdk=1.26.0=pyhd8ed1ab_0
  - opentelemetry-semantic-conventions=0.47b0=pyhd8ed1ab_0
  - opentelemetry-util-http=0.47b0=pyhd8ed1ab_0
  - orc=2.0.1=hd8d391b_0
  - orjson=3.10.10=py310h32a15e0_0
  - overrides=7.7.0=pyhd8ed1ab_0
  - packaging=24.1=pyhd8ed1ab_0
  - pandas=2.2.3=py310h5da7b33_0
  - pillow=9.5.0=py310hb653ca7_1
  - pip=24.2=pyh8b19718_1
  - postgrest=0.18.0=pyhd8ed1ab_0
  - posthog=3.6.5=pyhd8ed1ab_0
  - propcache=0.2.0=py310ha8f682b_2
  - proto-plus=1.24.0=py310haa95532_0
  - protobuf=4.25.3=py310hb55946c_1
  - pthread-stubs=0.4=hcd874cb_1001
  - pthreads-win32=2.9.1=h2466b09_4
  - pulsar-client=3.5.0=py310h9e98ed7_1
  - pyarrow=16.1.0=py310h3bcd3f7_1
  - pyarrow-core=16.1.0=py310hcb4c9cb_1_cpu
  - pyasn1=0.4.8=pyhd3eb1b0_0
  - pyasn1-modules=0.2.8=py_0
  - pybind11-abi=5=hd3eb1b0_0
  - pycparser=2.22=pyhd8ed1ab_0
  - pydantic=2.9.2=pyhd8ed1ab_0
  - pydantic-core=2.23.4=py310hc226416_0
  - pydantic-settings=2.6.0=pyh3cfb1c2_0
  - pygments=2.18.0=pyhd8ed1ab_0
  - pyjwt=2.9.0=pyhd8ed1ab_1
  - pyopenssl=24.2.1=pyhd8ed1ab_2
  - pyparsing=3.2.0=py310haa95532_0
  - pypdf2=3.0.1=pyhd8ed1ab_1
  - pypika=0.48.9=pyhd8ed1ab_0
  - pyproject_hooks=1.2.0=pyh7850678_0
  - pyreadline3=3.5.4=py310h5588dad_0
  - pysocks=1.7.1=pyh0701188_6
  - python=3.10.0=hcf16a7b_3_cpython
  - python-build=1.2.2.post1=pyhff2d567_0
  - python-dateutil=2.9.0=pyhd8ed1ab_0
  - python-dotenv=1.0.1=pyhd8ed1ab_0
  - python-flatbuffers=24.3.25=pyh59ac667_0
  - python-kubernetes=31.0.0=pyhd8ed1ab_0
  - python-multipart=0.0.16=pyhff2d567_0
  - python-tzdata=2023.3=pyhd3eb1b0_0
  - python-xxhash=2.0.2=py310h2bbff1b_1
  - python_abi=3.10=5_cp310
  - pytorch=2.5.1=py3.10_cpu_0
  - pytorch-mutex=1.0=cpu
  - pytz=2024.2=pyhd8ed1ab_0
  - pyu2f=0.1.5=pyhd8ed1ab_0
  - pyyaml=6.0.2=py310ha8f682b_1
  - re2=2023.09.01=hd3b24a8_2
  - realtime=2.0.6=pyhd8ed1ab_0
  - redis=3.5.3=pyhd3eb1b0_0
  - regex=2024.9.11=py310h827c3e9_0
  - requests=2.32.3=pyhd8ed1ab_0
  - requests-oauthlib=2.0.0=pyhd8ed1ab_0
  - responses=0.13.3=pyhd3eb1b0_0
  - rich=13.9.3=pyhd8ed1ab_0
  - rsa=4.7.2=pyhd3eb1b0_1
  - safetensors=0.4.5=py310h9e6c545_0
  - scikit-learn=1.5.2=py310h585ebfc_0
  - scipy=1.13.1=py310h8640f81_0
  - sentencepiece=0.2.0=h5588dad_4
  - sentencepiece-python=0.2.0=py310h9808039_4
  - sentencepiece-spm=0.2.0=h8e1a442_4
  - setuptools=75.1.0=pyhd8ed1ab_0
  - shellingham=1.5.4=pyhd8ed1ab_0
  - six=1.16.0=pyhd3eb1b0_1
  - snappy=1.2.1=hcdb6601_0
  - sniffio=1.3.1=pyhd8ed1ab_0
  - soupsieve=2.5=py310haa95532_0
  - sqlalchemy=2.0.36=py310ha8f682b_0
  - sqlite=3.47.0=h2466b09_0
  - starlette=0.41.0=pyhd8ed1ab_0
  - storage3=0.9.0=pyhd8ed1ab_0
  - strenum=0.4.15=pyhd8ed1ab_0
  - supabase=2.10.0=pyhd8ed1ab_1
  - supafunc=0.7.0=pyhd8ed1ab_0
  - sympy=1.13.3=pyh04b8f61_4
  - tbb=2021.13.0=hc790b64_0
  - tenacity=8.5.0=pyhd8ed1ab_0
  - threadpoolctl=3.5.0=py310h9909e9c_0
  - tiktoken=0.8.0=py310hddca29c_1
  - timm=1.0.13=pyhd8ed1ab_0
  - tk=8.6.13=h5226925_1
  - tokenizers=0.21.0=py310hddca29c_0
  - tomli=2.0.2=pyhd8ed1ab_0
  - torchvision=0.15.2=cpu_py310h7187fe4_0
  - tqdm=4.66.6=pyhd8ed1ab_0
  - transformers=4.48.0=pyhd8ed1ab_0
  - typer=0.12.5=pyhd8ed1ab_0
  - typer-slim=0.12.5=pyhd8ed1ab_0
  - typer-slim-standard=0.12.5=hd8ed1ab_0
  - typing-extensions=4.12.2=hd8ed1ab_0
  - typing_extensions=4.12.2=pyha770c72_0
  - typing_inspect=0.9.0=pyhd8ed1ab_0
  - typing_utils=0.1.0=pyhd8ed1ab_0
  - tzdata=2024b=hc8b5060_0
  - ucrt=10.0.22621.0=h57928b3_1
  - ujson=5.10.0=py310h5da7b33_0
  - uritemplate=4.1.1=pyhd8ed1ab_1
  - urllib3=2.2.3=pyhd8ed1ab_0
  - uvicorn=0.32.0=py310h5588dad_0
  - uvicorn-standard=0.32.0=h5588dad_0
  - vc=14.40=haa95532_2
  - vc14_runtime=14.42.34433=he29a5d6_23
  - vs2015_runtime=14.42.34433=hdffcdeb_23
  - watchfiles=0.24.0=py310hc226416_1
  - wcwidth=0.2.5=pyhd3eb1b0_0
  - websocket-client=1.8.0=pyhd8ed1ab_0
  - websockets=12.0=py310h8d17308_0
  - werkzeug=3.0.6=pyhd8ed1ab_0
  - wheel=0.44.0=pyhd8ed1ab_0
  - wikipedia=1.4.0=pyhd8ed1ab_3
  - win_inet_pton=1.1.0=pyh7428d3b_7
  - wrapt=1.16.0=py310ha8f682b_1
  - xorg-libxau=1.0.11=hcd874cb_0
  - xorg-libxdmcp=1.1.3=hcd874cb_0
  - xxhash=0.8.0=h2bbff1b_3
  - xz=5.2.6=h8d14728_0
  - yaml=0.2.5=h8ffe710_2
  - yarl=1.16.0=py310ha8f682b_0
  - zipp=3.20.2=pyhd8ed1ab_0
  - zlib=1.2.13=h2466b09_6
  - zstandard=0.23.0=py310he5e10e1_1
  - zstd=1.5.6=h0ea2cb4_0
  - pip:
      - alembic==1.14.0
      - altair==4.2.2
      - argon2-cffi==23.1.0
      - argon2-cffi-bindings==21.2.0
      - arrow==1.3.0
      - asttokens==2.4.1
      - async-lru==2.0.4
      - babel==2.16.0
      - bleach==6.2.0
      - comm==0.2.2
      - contourpy==1.3.0
      - cycler==0.12.1
      - debugpy==1.8.7
      - decorator==5.1.1
      - defusedxml==0.7.1
      - dill==0.3.9
      - entrypoints==0.4
      - executing==2.1.0
      - faker==30.8.2
      - fastjsonschema==2.20.0
      - favicon==0.7.0
      - fonttools==4.54.1
      - fqdn==1.5.1
      - gitdb==4.0.11
      - gitpython==3.1.43
      - htbuilder==0.6.2
      - ipykernel==6.29.5
      - ipython==8.29.0
      - ipywidgets==8.1.5
      - isoduration==20.11.0
      - jedi==0.19.1
      - json5==0.9.25
      - jsonschema==4.23.0
      - jsonschema-specifications==2024.10.1
      - jupyter==1.1.1
      - jupyter-client==8.6.3
      - jupyter-console==6.6.3
      - jupyter-core==5.7.2
      - jupyter-events==0.10.0
      - jupyter-lsp==2.2.5
      - jupyter-server==2.14.2
      - jupyter-server-terminals==0.5.3
      - jupyterlab==4.2.5
      - jupyterlab-pygments==0.3.0
      - jupyterlab-server==2.27.3
      - jupyterlab-widgets==3.0.13
      - kiwisolver==1.4.7
      - lxml==5.3.0
      - mako==1.3.6
      - markdown==3.7
      - markdownlit==0.0.7
      - matplotlib==3.9.2
      - matplotlib-inline==0.1.7
      - milvus==2.2.16
      - mistune==3.0.2
      - more-itertools==10.5.0
      - munch==2.5.0
      - nbclient==0.10.0
      - nbconvert==7.16.4
      - nbformat==5.10.4
      - nest-asyncio==1.6.0
      - nltk==3.9.1
      - notebook==7.2.2
      - notebook-shim==0.2.4
      - openai==1.52.2
      - pandocfilters==1.5.1
      - parso==0.8.4
      - platformdirs==4.3.6
      - plotly==5.24.1
      - prometheus-client==0.21.0
      - prompt-toolkit==3.0.48
      - psutil==5.9.8
      - pure-eval==0.2.3
      - pydeck==0.9.1
      - pymdown-extensions==10.12
      - pymilvus==2.4.9
      - pypdf==5.1.0
      - python-decouple==3.8
      - python-json-logger==2.0.7
      - pywin32==308
      - pywinpty==2.0.14
      - pyzmq==26.2.0
      - referencing==0.35.1
      - rfc3339-validator==0.1.4
      - rfc3986-validator==0.1.1
      - rpds-py==0.21.0
      - send2trash==1.8.3
      - smmap==5.0.1
      - st-annotated-text==4.0.1
      - st-theme==1.2.3
      - stack-data==0.6.3
      - streamlit==1.40.0
      - streamlit-aggrid==1.0.5
      - streamlit-camera-input-live==0.2.0
      - streamlit-card==1.0.2
      - streamlit-embedcode==0.1.2
      - streamlit-extras==0.5.0
      - streamlit-faker==0.0.3
      - streamlit-image-coordinates==0.1.9
      - streamlit-keyup==0.2.4
      - streamlit-pills==0.3.0
      - streamlit-toggle-switch==1.0.2
      - streamlit-vertical-slider==2.5.5
      - terminado==0.18.1
      - tinycss2==1.4.0
      - toml==0.10.2
      - toolz==1.0.0
      - tornado==6.4.1
      - traitlets==5.14.3
      - trulens==1.2.6
      - trulens-core==1.2.6
      - trulens-dashboard==1.2.6
      - trulens-eval==1.2.6
      - trulens-feedback==1.2.6
      - trulens-providers-openai==1.2.6
      - types-python-dateutil==2.9.0.20241003
      - uri-template==1.3.0
      - validators==0.34.0
      - watchdog==5.0.3
      - webcolors==24.8.0
      - webencodings==0.5.1
      - widgetsnbextension==4.0.13
prefix: C:\Users\lenovo\Anaconda3\envs\rag_venv
